rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
22,J.K. Dobbins,J.K. Dobbins,DEN,RB,vs. CIN,RB22,11.9,18,24,20.77,1.67,12,86.4,https://www.fantasypros.com/nfl/players/jk-dobbins.php,19245
23,Cam Skattebo,C. Skattebo,NYG,RB,vs. LAC,RB23,11.7,14,28,22.15,3.55,14,80.7,https://www.fantasypros.com/nfl/players/cam-skattebo.php,27166
24,Alvin Kamara,A. Kamara,NO,RB,at BUF,RB24,11.6,17,26,22.38,2.70,11,98.7,https://www.fantasypros.com/nfl/players/alvin-kamara.php,16421
25,Jaylen Warren,J. Warren,PIT,RB,vs. MIN,RB25,11.5,19,29,25.08,2.84,5,89.6,https://www.fantasypros.com/nfl/players/jaylen-warren.php,24209
26,Quinshon Judkins,Q. Judkins,CLE,RB,at DET,RB26,11.4,23,29,25.69,1.98,9,70.9,https://www.fantasypros.com/nfl/players/quinshon-judkins.php,25391
27,Tony Pollard,T. Pollard,TEN,RB,at HOU,RB27,11.4,20,30,26.15,2.80,10,93.6,https://www.fantasypros.com/nfl/players/tony-pollard.php,18705
28,D'Andre Swift,D. Swift,CHI,RB,at LV,RB28,11.3,24,30,27.85,1.75,5,94.1,https://www.fantasypros.com/nfl/players/dandre-swift.php,19210
29,TreVeyon Henderson,T. Henderson,NE,RB,vs. CAR,RB29,10.7,26,32,29.08,1.49,14,95.1,https://www.fantasypros.com/nfl/players/treveyon-henderson.php,23065
30,David Montgomery,D. Montgomery,DET,RB,vs. CLE,RB30,9.7,26,31,29.08,1.64,8,96,https://www.fantasypros.com/nfl/players/david-montgomery.php,18239
31,Jacory Croskey-Merritt,J. Croskey-Merritt,WAS,RB,at ATL,RB31,9.7,30,34,31.54,1.15,12,84.5,https://www.fantasypros.com/nfl/players/jacory-croskeymerritt.php,27316
32,Nick Chubb,N. Chubb,HOU,RB,vs. TEN,RB32,7.8,27,35,31.69,2.23,6,78.2,https://www.fantasypros.com/nfl/players/nick-chubb.php,17246
33,Rhamondre Stevenson,R. Stevenson,NE,RB,vs. CAR,RB33,7.8,29,34,31.85,1.23,14,80.4,https://www.fantasypros.com/nfl/players/rhamondre-stevenson.php,22726
34,Isiah Pacheco,I. Pacheco,KC,RB,vs. BAL,RB34,7.2,33,36,34.38,0.84,10,93.4,https://www.fantasypros.com/nfl/players/isiah-pacheco.php,24333
35,Bhayshul Tuten,B. Tuten,JAC,RB,at SF,RB35,7.2,34,39,36.15,1.29,8,55.8,https://www.fantasypros.com/nfl/players/bhayshul-tuten.php,27297
36,Kareem Hunt,K. Hunt,KC,RB,vs. BAL,RB36,7.0,35,37,36.15,0.77,10,23.5,https://www.fantasypros.com/nfl/players/kareem-hunt.php,16425
37,RJ Harvey,RJ Harvey,DEN,RB,vs. CIN,RB37,6.7,36,43,38.08,1.77,12,88.1,https://www.fantasypros.com/nfl/players/rj-harvey.php,27142
